seq_beneficiario;dat_inicio_direito;des_categoria;desc_entidade;val_cargo;val_redutor_teto;nom_municipio;sgl_uf;dat_requerimento;dat_doc_completa;dat_deferimento;mes_deferimento;dias_uteis_concessao
189124;2024-03-26;FILHO(A) INVALIDO(A);DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;5759,15;5759,15;TOCANTINS;MG;2024-06-06;2024-09-02;2025-01-14;Janeiro/2025;97
189121;2024-10-09;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;11621,86;11621,86;BELO HORIZONTE;MG;2024-11-05;2024-12-19;2025-01-14;Janeiro/2025;19
189043;2024-09-24;FILHO(A) LC 64/2002;SECRETARIA DE EDUCACAO;2322,38;2322,38;JOAO MONLEVADE;MG;2024-09-24;2025-01-13;2025-01-14;Janeiro/2025;2
189122;2024-07-30;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;9221,94;9221,94;BETIM;MG;2024-08-28;2024-11-08;2025-01-14;Janeiro/2025;48
189111;2024-10-31;CONJUGE;SECRETARIA DA EDUCACAO;4032,75;4032,75;SANTA CRUZ DE SALINAS;MG;2024-12-19;2025-01-02;2025-01-14;Janeiro/2025;9
189116;2024-12-24;CONJUGE;SECRETARIA DE ESTADO DE SAUDE;3495,47;3495,47;CONSELHEIRO LAFAIETE;MG;2025-01-09;2025-01-13;2025-01-14;Janeiro/2025;2
189123;2024-10-01;CONJUGE;SECRETARIA DA EDUCACAO;6283,14;6283,14;BELO HORIZONTE;MG;2024-10-24;2024-11-13;2025-01-14;Janeiro/2025;45
189108;2024-12-01;CONJUGE;SECRETARIA DE ESTADO DE FAZENDA DE MINAS GERAIS;3292,65;3292,65;BELO HORIZONTE;MG;2025-01-02;2025-01-14;2025-01-14;Janeiro/2025;1
189098;2024-09-15;CONJUGE;SECRETARIA DA EDUCACAO;2728,73;2728,73;SETE LAGOAS;MG;2024-10-31;2025-01-10;2025-01-14;Janeiro/2025;3
189112;2024-11-16;CONJUGE;SECRETARIA DE JUSTICA E SEGURANCA PUBLICA;3178,1;3178,1;RIBEIRAO DAS NEVES;MG;2024-12-12;2025-01-13;2025-01-14;Janeiro/2025;2
189117;2025-01-03;CONJUGE;SECRETARIA DA EDUCACAO;7749,34;7749,34;GARAPUAVA;MG;2025-01-10;2025-01-14;2025-01-15;Janeiro/2025;2
189131;2024-09-10;CONJUGE;SECRETARIA DA EDUCACAO;1640,13;1640,13;CURVELO;MG;2024-12-06;2025-01-09;2025-01-15;Janeiro/2025;5
189128;2024-12-07;CONJUGE;FUNDACAO HOSPITALAR DO ESTADO DE MINAS GERAIS - FHEMIG;6313,31;6313,31;BELO HORIZONTE;MG;2025-01-13;2025-01-15;2025-01-15;Janeiro/2025;1
189115;2024-12-16;CONJUGE;SECRETARIA DE ESTADO DE EDUCACAO;5838,21;5838,21;PATROCINIO;MG;2025-01-06;2025-01-14;2025-01-15;Janeiro/2025;2
189120;2024-07-31;FILHO(A) INVALIDO(A);SECRETARIA DA AGRICULTURA;2088,44;2088,44;SAO SEBASTIAO DO PARAISO;MG;2024-08-14;2025-01-14;2025-01-15;Janeiro/2025;2
189143;2024-12-06;CONJUGE;SECRETARIA DA EDUCACAO;2875,54;2875,54;CORONEL MURTA;MG;2025-01-09;2025-01-15;2025-01-16;Janeiro/2025;2
189144;2024-12-26;CONJUGE;SECRETARIA DA EDUCACAO;4703,8;4703,8;BELO HORIZONTE;MG;2025-01-14;2025-01-16;2025-01-16;Janeiro/2025;1
189149;2024-12-26;CONJUGE;IGAM INST DE GESTAO DAS AGUAS;5052,58;5052,58;BELO HORIZONTE;MG;2025-01-14;2025-01-16;2025-01-16;Janeiro/2025;1
189133;2024-08-25;PAI OU MAE;SECRETARIA DA EDUCACAO;1005,89;1518,0;PATOS DE MINAS;MG;2024-10-15;2025-01-15;2025-01-16;Janeiro/2025;2
189100;2024-06-24;COMPANHEIRO(A);SECRETARIA DE EDUCACAO;2111,85;2111,85;CONTAGEM;MG;2024-06-24;2025-01-08;2025-01-16;Janeiro/2025;7
189151;2024-12-08;CONJUGE;SECRETARIA DA EDUCACAO;3769,25;3769,25;CURVELO;MG;2024-12-20;2025-01-16;2025-01-16;Janeiro/2025;1
189134;2024-12-21;CONJUGE;ADVOCACIA GERAL DO ESTADO;31756,09;31756,09;SANTA LUZIA;MG;2025-01-13;2025-01-15;2025-01-16;Janeiro/2025;2
189154;2024-11-22;CONJUGE;SECRETARIA DA EDUCACAO;1324,79;1518,0;RIO ESPERA;MG;2024-12-23;2025-01-16;2025-01-16;Janeiro/2025;1
189147;2024-11-19;CONJUGE;IEF INST EST DE FLORESTAS;1824,71;1824,71;ASTOLFO DUTRA;MG;2025-01-13;2025-01-15;2025-01-16;Janeiro/2025;2
189113;2024-11-23;CONJUGE;SECRETARIA DA EDUCACAO;3897,22;3897,22;PAULA CANDIDO;MG;2025-01-10;2025-01-13;2025-01-17;Janeiro/2025;5
189099;2025-01-17;FILHO(A) LC 64/2002;SECRETARIA DE ESTADO DE EDUCACAO;1207,6;1518,0;BRAZOPOLIS;MG;2024-11-12;;2025-01-17;Janeiro/2025;49
189161;2024-11-02;CONJUGE;SECRETARIA DA EDUCACAO;1958,11;1958,11;CARATINGA;MG;2024-12-19;2025-01-17;2025-01-17;Janeiro/2025;1
189150;2024-12-23;CONJUGE;SECRETARIA DA EDUCACAO;7244,32;7244,32;IGARAPE;MG;2024-12-30;2025-01-17;2025-01-17;Janeiro/2025;1
